date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:25	1010/1010	---M--	200	added ('OK')	text/plain	date:Sat,%2005%20May%202018%2008:53:08%20GMT	http://slidesigma.com/robots.txt		(from )
17:43:27	79308/79308	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2018:52:52%20GMT	http://slidesigma.com/themes/html/mednalytics/	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/index.html	(from )
17:43:29	3457/3457	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:12%20GMT	http://slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/flat-icons/flaticon.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/flat-icons/flaticon.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:31	46930/46930	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:12%20GMT	http://slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/font-awesome/css/all.min.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/font-awesome/css/all.min.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:31	15372/15372	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:12%20GMT	http://slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/cryptocoins/cryptocoins.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/cryptocoins/cryptocoins.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:33	4402/4402	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:12%20GMT	http://slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/cryptocoins/cryptocoins-colors.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/vendors/iconic-fonts/cryptocoins/cryptocoins-colors.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:36	1776/1776	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:04%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/css/slick.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/css/slick.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:37	20256/20256	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:04%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/css/jquery-ui.min.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:40	433/433	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:04%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/css/morris.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/css/morris.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:42	1020/1020	---M--	200	added ('OK')	image/x-icon	date:Fri,%2003%20Jan%202020%2017:31:04%20GMT	http://slidesigma.com/themes/html/mednalytics/favicon.ico	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/favicon.ico	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:45	140857/140857	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2017:31:04%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/css/bootstrap.min.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:46	3209/3209	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2017:31:06%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/img/mednalytics-logo-216x62.png	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/img/mednalytics-logo-216x62.png	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:47	79308/79308	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2018:52:52%20GMT	http://slidesigma.com/themes/html/mednalytics/index.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/index-2.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:51	71201/71201	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/doctor/add-doctor.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/doctor/add-doctor.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:54	178040/178040	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2019:53:40%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/css/style.css	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/css/style.css	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:55	65370/65370	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/patient/add-patient.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/patient/add-patient.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:56	64436/64436	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2017:31:06%20GMT	http://slidesigma.com/themes/html/mednalytics/assets/img/dashboard/doctor-3.jpg	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/assets/img/dashboard/doctor-3.jpg	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:56	91542/91542	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2019:26:58%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/doctor/doctor-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/doctor/doctor-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:58	57638/57638	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/patient/patient-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/patient/patient-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:43:59	50115/50115	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/department/add-department.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/department/add-department.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:01	52412/52412	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/department/department-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/department/department-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:03	86886/86886	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2019:33:14%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/doctor-schedule/add-schedule.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/doctor-schedule/add-schedule.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:04	61852/61852	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/doctor-schedule/schedule-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/doctor-schedule/schedule-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:05	55885/55885	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/appointment/add-appointment.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/appointment/add-appointment.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:06	61560/61560	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/appointment/appointment-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/appointment/appointment-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:08	61059/61059	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/payment/add-payment.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/payment/add-payment.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:09	57548/57548	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/payment/payment-list.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/payment/payment-list.html	(from http://slidesigma.com/themes/html/mednalytics/)
17:44:10	61055/61055	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2017:31:10%20GMT	http://slidesigma.com/themes/html/mednalytics/pages/payment/payment-invoice.html	C:/My%20Web%20Sites/Medical/slidesigma.com/themes/html/mednalytics/pages/payment/payment-invoice.html	(from http://slidesigma.com/themes/html/mednalytics/)
